date,SP50
2018/06/01,2734.62
2018/05/25,2721.33
2018/05/18,2712.97
2018/05/11,2727.72
2018/05/04,2663.42
2018/04/27,2669.91
2018/04/20,2670.14
2018/04/13,2656.3
2018/04/06,2604.47
2018/03/29,2640.87
2018/03/23,2588.26
2018/03/16,2752.01
2018/03/09,2786.57
2018/03/02,2691.25
2018/02/23,2747.3
2018/02/16,2732.22
2018/02/09,2619.55
2018/02/02,2762.13
2018/01/26,2872.87
2018/01/19,2810.3
2018/01/12,2786.24
2018/01/05,2743.15
2017/12/29,2673.61
2017/12/22,2683.34
2017/12/15,2675.81
2017/12/08,2651.5
2017/12/01,2642.22
2017/11/24,2602.42
2017/11/17,2578.85
2017/11/10,2582.3
2017/11/03,2587.84
2017/10/27,2581.07
2017/10/20,2575.21
2017/10/13,2553.17
2017/10/06,2549.33
2017/09/29,2519.36
2017/09/22,2502.22
2017/09/15,2500.23
2017/09/08,2461.43
2017/09/01,2476.55
2017/08/25,2443.05
2017/08/18,2425.55
2017/08/11,2441.32
2017/08/04,2476.83
2017/07/28,2472.1
2017/07/21,2472.54
2017/07/14,2459.27
2017/07/07,2425.18
2017/06/30,2423.41
2017/06/23,2438.3
2017/06/16,2433.15
2017/06/09,2431.77
2017/06/02,2439.07
2017/05/26,2415.82
2017/05/19,2381.73
2017/05/12,2390.9
2017/05/05,2399.29
2017/04/28,2384.2
2017/04/21,2348.69
2017/04/13,2328.95
2017/04/07,2355.54
2017/03/31,2362.72
2017/03/24,2343.98
2017/03/17,2378.25
2017/03/10,2372.6
2017/03/03,2383.12
2017/02/24,2367.34
2017/02/17,2351.16
2017/02/10,2316.1
2017/02/03,2297.42
2017/01/27,2294.69
2017/01/20,2271.31
2017/01/13,2274.64
2017/01/06,2276.98
2016/12/30,2238.83
2016/12/23,2263.79
2016/12/16,2258.07
2016/12/09,2259.53
2016/12/02,2191.95
2016/11/25,2213.35
2016/11/18,2181.9
2016/11/11,2164.45
2016/11/04,2085.18
2016/10/28,2126.41
2016/10/21,2141.16
2016/10/14,2132.98
2016/10/07,2153.74
2016/09/30,2168.27
2016/09/23,2164.69
2016/09/16,2139.16
2016/09/09,2127.81
2016/09/02,2179.98
2016/08/26,2169.04
2016/08/19,2183.87
2016/08/12,2184.05
2016/08/05,2182.87
2016/07/29,2173.6
2016/07/22,2175.03
2016/07/15,2161.74
2016/07/08,2129.9
2016/07/01,2102.95
2016/06/24,2037.41
2016/06/17,2071.22
2016/06/10,2096.07
2016/06/03,2099.13
2016/05/27,2099.06
2016/05/20,2052.32
2016/05/13,2046.61
2016/05/06,2057.14
2016/04/29,2065.3
2016/04/22,2091.58
2016/04/15,2080.73
2016/04/08,2047.6
2016/04/01,2072.78
2016/03/24,2035.94
2016/03/18,2049.58
2016/03/11,2022.19
2016/03/04,1999.99
2016/02/26,1948.05
2016/02/19,1917.78
2016/02/12,1864.78
2016/02/05,1880.05
2016/01/29,1940.24
2016/01/22,1906.9
2016/01/15,1880.33
2016/01/08,1922.03
2015/12/31,2043.94
2015/12/24,2060.99
2015/12/18,2005.55
2015/12/11,2012.37
2015/12/04,2091.69
2015/11/27,2090.11
2015/11/20,2089.17
2015/11/13,2023.04
2015/11/06,2099.2
2015/10/30,2079.36
2015/10/23,2075.15
2015/10/16,2033.11
2015/10/09,2014.89
2015/10/02,1951.36
2015/09/25,1931.34
2015/09/18,1958.03
2015/09/11,1961.05
2015/09/04,1921.22
2015/08/28,1988.87
2015/08/21,1970.89
2015/08/14,2091.54
2015/08/07,2077.57
2015/07/31,2103.84
2015/07/24,2079.65
2015/07/17,2126.64
2015/07/10,2076.62
2015/07/02,2076.78
2015/06/26,2101.49
2015/06/19,2109.99
2015/06/12,2094.11
2015/06/05,2092.83
2015/05/29,2107.39
2015/05/22,2126.06
2015/05/15,2122.73
2015/05/08,2116.1
2015/05/01,2108.29
2015/04/24,2117.69
2015/04/17,2081.18
2015/04/10,2102.06
2015/04/02,2066.96
2015/03/27,2061.02
2015/03/20,2108.1
2015/03/13,2053.4
2015/03/06,2071.26
2015/02/27,2104.5
2015/02/20,2110.3
2015/02/13,2096.99
2015/02/06,2055.47
2015/01/30,1994.99
2015/01/23,2051.82
2015/01/16,2019.42
2015/01/09,2044.81
2015/01/02,2058.2